source file name , phase name , phase input files , phase output file , arch , tool, metric , unit
C:/Users/user/Desktop/Git/CUDA/vec_add.cu , cl.exe (preprocessing 4) , C:/Users/user/Desktop/Git/CUDA/vec_add.cu  , C:/Users/user/AppData/Local/Temp/tmpxft_00003d34_00000000-10_vec_add.cpp4.ii ,  , nvcc , 489.8612 , ms
C:/Users/user/Desktop/Git/CUDA/vec_add.cu , cudafe++ , C:/Users/user/AppData/Local/Temp/tmpxft_00003d34_00000000-10_vec_add.cpp4.ii  , C:/Users/user/AppData/Local/Temp/tmpxft_00003d34_00000000-11_vec_add.cudafe1.cpp , compute_86 , nvcc , 822.4579 , ms
C:/Users/user/Desktop/Git/CUDA/vec_add.cu , cl.exe (preprocessing 1) , C:/Users/user/Desktop/Git/CUDA/vec_add.cu  , C:/Users/user/AppData/Local/Temp/tmpxft_00003d34_00000000-16_vec_add.cpp1.ii , compute_86 , nvcc , 509.1478 , ms
C:/Users/user/Desktop/Git/CUDA/vec_add.cu , cicc ,  C:/Users/user/AppData/Local/Temp/tmpxft_00003d34_00000000-16_vec_add.cpp1.ii  , C:/Users/user/AppData/Local/Temp/tmpxft_00003d34_00000000-11_vec_add.ptx , compute_86 , nvcc , 717.4827 , ms
C:/Users/user/Desktop/Git/CUDA/vec_add.cu , ptxas , C:/Users/user/AppData/Local/Temp/tmpxft_00003d34_00000000-11_vec_add.ptx  , C:/Users/user/AppData/Local/Temp/tmpxft_00003d34_00000000-19_vec_add.cubin , sm_86 , nvcc , 35.4566 , ms
C:/Users/user/Desktop/Git/CUDA/vec_add.cu , fatbinary , C:/Users/user/AppData/Local/Temp/tmpxft_00003d34_00000000-19_vec_add.cubin  , C:/Users/user/AppData/Local/Temp/tmpxft_00003d34_00000000-8_vec_add.fatbin ,  , nvcc , 25.4556 , ms
C:/Users/user/Desktop/Git/CUDA/vec_add.cu , cl.exe (compiling) ,   , C:/Users/user/AppData/Local/Temp/tmpxft_00003d34_00000000-20_vec_add.obj , compute_86 , nvcc , 770.7071 , ms
C:/Users/user/Desktop/Git/CUDA/DS_timer.cpp , cl.exe (compiling) , C:/Users/user/Desktop/Git/CUDA/DS_timer.cpp  , C:/Users/user/AppData/Local/Temp/tmpxft_00003d34_00000000-23_DS_timer.obj ,  , nvcc , 782.0757 , ms
C:/Users/user/Desktop/Git/CUDA/vec_add.cu C:/Users/user/Desktop/Git/CUDA/DS_timer.cpp  , nvlink , C:/Users/user/AppData/Local/Temp/tmpxft_00003d34_00000000-20_vec_add.obj C:/Users/user/AppData/Local/Temp/tmpxft_00003d34_00000000-23_DS_timer.obj  , C:/Users/user/AppData/Local/Temp/tmpxft_00003d34_00000000-26_vec_add_dlink.cubin , sm_86 , nvcc , 32.3531 , ms
C:/Users/user/Desktop/Git/CUDA/vec_add.cu C:/Users/user/Desktop/Git/CUDA/DS_timer.cpp  , fatbinary , C:/Users/user/AppData/Local/Temp/tmpxft_00003d34_00000000-26_vec_add_dlink.cubin  , C:/Users/user/AppData/Local/Temp/tmpxft_00003d34_00000000-13_vec_add_dlink.fatbin ,  , nvcc , 22.5477 , ms
C:/Users/user/Desktop/Git/CUDA/vec_add.cu C:/Users/user/Desktop/Git/CUDA/DS_timer.cpp  , cl.exe (compiling) , C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.5\bin\crt\link.stub  , C:/Users/user/AppData/Local/Temp/tmpxft_00003d34_00000000-28_vec_add_dlink.obj ,  , nvcc , 77.4797 , ms
